sentence1,sentence2,condition,label
Five individuals jumping with their arms straight up in front of the ocean .,A group of five people have picture taken while jumping in the air .,The time the people were posing.,5
Brown dog with mouth open and ears in air running .,The short-haired dog is running across a grassy yard .,The type of animal.,5
Brown dog with mouth open and ears in air running .,The short-haired dog is running across a grassy yard .,The animals expression.,2
Skateboarding kid mentally preps for the coming trick .,There is a kid doing tricks on a skateboard in a rural area .,The sport performed.,4
Skateboarding kid mentally preps for the coming trick .,There is a kid doing tricks on a skateboard in a rural area .,The state of the performer of the sport.,4
A white dog with black spots runs through a field covered in snow .,A single tan-and-white dog dashes through tall green grass .,The species of animal involved.,5
A white dog with black spots runs through a field covered in snow .,A single tan-and-white dog dashes through tall green grass .,The temperature outside.,3
An older Asian man wading through a marsh whilst clutching vegetation in one hand .,A man in a plaid shirt sits on a wooden raft in a body of water near plants .,The number of person.,5
An older Asian man wading through a marsh whilst clutching vegetation in one hand .,A man in a plaid shirt sits on a wooden raft in a body of water near plants .,The walk of man.,1
"Two basketball players , one on the floor , struggle to gain possession of a basketball .",A basketball game with player in black uniform about to score while surrounded by players in white .,The activity.,5
"Two basketball players , one on the floor , struggle to gain possession of a basketball .",A basketball game with player in black uniform about to score while surrounded by players in white .,The number of people.,1
A hairy dog tries to follow its owner around an obstacle course .,A dog with long hair and a red vest runs in the grass .,The length of the hair.,4
A hairy dog tries to follow its owner around an obstacle course .,A dog with long hair and a red vest runs in the grass .,The number of animals.,4
A motorcycle rider navigating his bike over a stone obstacle .,Man racing his dirt bike in a motor cross race .,The acitivity of riding.,4
A motorcycle rider navigating his bike over a stone obstacle .,Man racing his dirt bike in a motor cross race .,The activity of place.,1
Two men wearing wetsuits riding a wave on surfboards .,A surfer wearing a wetsuit and using a light colored board catches some air .,The people's outfits.,5
Two men wearing wetsuits riding a wave on surfboards .,A surfer wearing a wetsuit and using a light colored board catches some air .,The number of people.,1
"A market offers a variety of fresh , colorful vegetables in the open air .",A lady sitting at her table trying to sell her goods at an open market .,The selling of goods.,5
"A market offers a variety of fresh , colorful vegetables in the open air .",A lady sitting at her table trying to sell her goods at an open market .,The size of the business.,4
The light colored dog is running through a field .,Wolf-like dog chasing white wiffle ball through a green field .,The variety of animal.,5
The light colored dog is running through a field .,Wolf-like dog chasing white wiffle ball through a green field .,The animals speed.,4
Musicians preparing to entertain people in a club .,Performers making music on a guitar and keyboard .,The type of artist.,4
Musicians preparing to entertain people in a club .,Performers making music on a guitar and keyboard .,The motion of the people.,4
"There are riders and horses in a horse race , going around a track .",A rodeo rider holds tightly onto a bucking horse .,Type of animals.,5
"There are riders and horses in a horse race , going around a track .",A rodeo rider holds tightly onto a bucking horse .,Location.,2
Three small dogs stand in the sand and stare at each other .,A black and white dog is playing or fighting with a brown dog in grass .,The number of animals.,5
Three small dogs stand in the sand and stare at each other .,A black and white dog is playing or fighting with a brown dog in grass .,The color of animal.,2
A hiker poses for a picture in front of stunning mountains and clouds .,A man in red snow gear looks at an expanse of snow and mountains .,The person's attention.,5
A hiker poses for a picture in front of stunning mountains and clouds .,A man in red snow gear looks at an expanse of snow and mountains .,The background.,3
Two asian females are doing a dance in native costume .,Two women in red skirts dancing for an audience .,The people.,5
Two asian females are doing a dance in native costume .,Two women in red skirts dancing for an audience .,The activity of dance.,3
Guy in an orange vest on a lawn tractor mowing his lawn on a sunny day,A man with a green jacket and headphones cutting grass .,The person's occupation.,5
Guy in an orange vest on a lawn tractor mowing his lawn on a sunny day,A man with a green jacket and headphones cutting grass .,The person's clothes' color.,3
A man in a red shirt is jumping from one rock to another larger rocker with two male spotters below him .,"There are two people rock climbing , one is on the ground while the other climbs .",The rocks.,5
A man in a red shirt is jumping from one rock to another larger rocker with two male spotters below him .,"There are two people rock climbing , one is on the ground while the other climbs .",Number of people.,1
A bicycler is going down a ramp at a bike festival .,A person riding a bicycle travels down an overgrown hill .,The direction of the cyclists.,5
A bicycler is going down a ramp at a bike festival .,A person riding a bicycle travels down an overgrown hill .,The location of the cyclists.,3
Closeup perspective of a bicycle wheel being ridden by someone,A person in purple shorts riding a bike up a mountain .,The number of wheels.,5
Closeup perspective of a bicycle wheel being ridden by someone,A person in purple shorts riding a bike up a mountain .,The type of hobby.,4
A person snowboarding and jumping over a construction sign .,A person in skis is jumping off the side of a tree while someone records it .,The sport.,4
A person snowboarding and jumping over a construction sign .,A person in skis is jumping off the side of a tree while someone records it .,The stunt type.,4
The white and brown dog is running quickly through the grass .,Two small white dogs are in a yard chasing a red ball .,Number of dogs.,4
The white and brown dog is running quickly through the grass .,Two small white dogs are in a yard chasing a red ball .,The type of animal.,3
Two white dogs and two brown dogs running through the grass .,A black dog chasing a brown and white dog very quickly over a lawn .,Th place of dogs playing.,5
Two white dogs and two brown dogs running through the grass .,A black dog chasing a brown and white dog very quickly over a lawn .,The number of dogs.,2
A lack dog leaps in front of a tree branch in the snow .,A brown and black dog running through snow-covered ground .,The weather.,4
A lack dog leaps in front of a tree branch in the snow .,A brown and black dog running through snow-covered ground .,The actions being done.,3
A man wearing a helmet and life-vest kayaking in the water .,This person in a yellow kayak is riding the rapids .,The activity.,3
A man wearing a helmet and life-vest kayaking in the water .,This person in a yellow kayak is riding the rapids .,The speed of the water.,1
"A skateboarder , wearing a red shirt and sunglasses , is dropping in to a half pipe .",A skateboarder performs a skateboard trick against a graffiti wall .,The people's hobby.,5
"A skateboarder , wearing a red shirt and sunglasses , is dropping in to a half pipe .",A skateboarder performs a skateboard trick against a graffiti wall .,The obstacle utilized.,2
a group of people being pulled in a horse buggy by 4 horses on a grassy field .,A bunch of young children are riding on the back of a trolley while being carried by a black and white horse,The number of animals.,4
a group of people being pulled in a horse buggy by 4 horses on a grassy field .,A bunch of young children are riding on the back of a trolley while being carried by a black and white horse,The type of animal.,3
A line of people are making their way through snow covered mountains .,"Many people are waiting in line on a snowy hill , and some skis and snowboards lay abandoned .",The surface.,5
A line of people are making their way through snow covered mountains .,"Many people are waiting in line on a snowy hill , and some skis and snowboards lay abandoned .",The physical activity.,4
A young black child stands on the edge of a body of water near buckets .,An african family are standing in front of some makeshift houses .,The race of the people.,5
A young black child stands on the edge of a body of water near buckets .,An african family are standing in front of some makeshift houses .,The amount of people standing.,1
An adult baseball player sliding onto the base while his opponent attempts to tag him .,A baseball player rounds the bases while another makes a leaping dive for the ball .,The profession.,5
An adult baseball player sliding onto the base while his opponent attempts to tag him .,A baseball player rounds the bases while another makes a leaping dive for the ball .,The age group.,3
A right handed pitcher is in motion of throwing a pitch .,The baseball pitcher fires a ball towards the plate .,The throwing position of the player.,5
A right handed pitcher is in motion of throwing a pitch .,The baseball pitcher fires a ball towards the plate .,The sport being played.,5
Two dogs running in a field of dry grass on a clear day .,a tan dog jumping through the field with some barren trees in the background,The name of the animal.,4
Two dogs running in a field of dry grass on a clear day .,a tan dog jumping through the field with some barren trees in the background,The number of dogs.,2
A dog is running in the ocean beside the beach .,A white dog walks through shallow water in the wilderness .,Type of animal.,5
A dog is running in the ocean beside the beach .,A white dog walks through shallow water in the wilderness .,Landscape.,4
"Three football players , # 16 is throwing the football , # 71 is blocking the other opponent .",A football player holding a ball is being chased by the Knights team .,The sport played.,3
"Three football players , # 16 is throwing the football , # 71 is blocking the other opponent .",A football player holding a ball is being chased by the Knights team .,The state of the ball.,1
Boy in a black and white soccer uniform kicking the ball with other players nearby .,Two men and four boys play outdoors in close range of a soccer goal net .,The presence of adults.,5
Boy in a black and white soccer uniform kicking the ball with other players nearby .,Two men and four boys play outdoors in close range of a soccer goal net .,The sport being played.,4
"A bride and groom during their wedding ceremony are surrounded by a crowd , in front of a brick building .",A bride and groom make small talk with a guest as the groom shakes the guest 's hand .,The reason for the gathering.,5
"A bride and groom during their wedding ceremony are surrounded by a crowd , in front of a brick building .",A bride and groom make small talk with a guest as the groom shakes the guest 's hand .,The number of people.,4
A black dog and a brown dog are smelling each others noses .,"A pet dog , standing on bank is looking at another brown dog inside a pond .",The type of animals.,5
A black dog and a brown dog are smelling each others noses .,"A pet dog , standing on bank is looking at another brown dog inside a pond .",The sentiment of the dogs.,4
The small child with a red helmet rides a scooter on a sidewalk .,"A small girl playing , on the sidewalk , with a stick .",The location of the activity.,5
The small child with a red helmet rides a scooter on a sidewalk .,"A small girl playing , on the sidewalk , with a stick .",The clothing being worn.,3
Young white male child with blond-hair in a red shirt coloring with crayons outside with an adult .,A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,Age of the child.,5
Young white male child with blond-hair in a red shirt coloring with crayons outside with an adult .,A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,The area where they are at.,1
A cowboy wearing a brown shirt that says US Army holding a horses lead .,A woman in a pink shirt is placing her hand over her heart as she rides a horse .,The number of people performing.,5
A cowboy wearing a brown shirt that says US Army holding a horses lead .,A woman in a pink shirt is placing her hand over her heart as she rides a horse .,The color of the shirt.,1
"Three football players , # 16 is throwing the football , # 71 is blocking the other opponent .",A player for the Oklahoma Sooners football team punts the ball during a game .,The type of sport.,4
"Three football players , # 16 is throwing the football , # 71 is blocking the other opponent .",A player for the Oklahoma Sooners football team punts the ball during a game .,The motion of the players.,2
Woman jumping from a dock while wearing a red and white skirt and top .,"A teen girl in a green plaid shirt , with a white shirt underneath and jeans is jumping in the air .",The type of gender.,5
Woman jumping from a dock while wearing a red and white skirt and top .,"A teen girl in a green plaid shirt , with a white shirt underneath and jeans is jumping in the air .",The type of dress.,1
A young girl is on a swing up high with a sunset behind her .,"A young boy , wearing a yellow shirt , is sitting on a swing and holding on at a park .",The type of playground equipment.,4
A young girl is on a swing up high with a sunset behind her .,"A young boy , wearing a yellow shirt , is sitting on a swing and holding on at a park .",The sex of the child.,2
A small white dog and large brown dog play on the grass .,three dogs running around in the grass with woods in the background,The type of ground cover.,3
A small white dog and large brown dog play on the grass .,three dogs running around in the grass with woods in the background,The number of dogs.,1
A surfer wipes out on his surfboard on a clear day in the ocean .,a lone parasailer surfing in the ocean wearing a black swimsuit .,The rider's position.,5
A surfer wipes out on his surfboard on a clear day in the ocean .,a lone parasailer surfing in the ocean wearing a black swimsuit .,The setting.,3
Several men wearing helmets are working on a railway line .,Several workers in hard hats and orange vests are working along train tracks .,The headwear.,5
Several men wearing helmets are working on a railway line .,Several workers in hard hats and orange vests are working along train tracks .,The garments.,4
Two young girls are riding a large bicycle on the side of the road .,One boy rides a tricycle while another walks beside him .,The number of people.,4
Two young girls are riding a large bicycle on the side of the road .,One boy rides a tricycle while another walks beside him .,The hobby.,3
A group of people wearing orange and black play various types of drums as others watch .,An eclectic group of musicians and actors perform for a group of tourists .,The instruments used.,3
A group of people wearing orange and black play various types of drums as others watch .,An eclectic group of musicians and actors perform for a group of tourists .,The intentional creation of sounds.,3
A little boy with a scooter riding down a sidewalk .,A young boy on his bike rides past a table and looks around him .,The number of wheels on the vehicle.,5
A little boy with a scooter riding down a sidewalk .,A young boy on his bike rides past a table and looks around him .,The vehicle being rode.,2
A man wearing a white shirt is skateboarding downhill on a road .,A person sitting at the bottom of a skateboard ramp .,The position of the person.,5
A man wearing a white shirt is skateboarding downhill on a road .,A person sitting at the bottom of a skateboard ramp .,The type of hobby.,5
A dog running in the grass with a stick in his mouth .,A black and white dog is biting on a pine cone on the grass .,The type of the animals.,4
A dog running in the grass with a stick in his mouth .,A black and white dog is biting on a pine cone on the grass .,The color of the animals.,1
A tan dog on a leash running in shallow ocean water .,A small dog is playing with a ball on the sand .,The number of the dog.,5
A tan dog on a leash running in shallow ocean water .,A small dog is playing with a ball on the sand .,The activity of the dog.,2
A surfer riding a wave sideways and looking really happy while doing it .,A surfer is falling of his surfboard in the middle of a crashing wave .,The sport.,3
A surfer riding a wave sideways and looking really happy while doing it .,A surfer is falling of his surfboard in the middle of a crashing wave .,The posture of the person.,1
A teenager boy does a trick with his skateboard against a wall .,Skateboarder not wearing a shirt does a cool trick .,The action of the skateboarder.,5
A teenager boy does a trick with his skateboard against a wall .,Skateboarder not wearing a shirt does a cool trick .,The name of the sport.,5
A white dog jumps in the water to catch a tennis ball .,Two different breeds of brown and white dogs play on the beach .,The type of animal.,5
A white dog jumps in the water to catch a tennis ball .,Two different breeds of brown and white dogs play on the beach .,The number of animals.,1
Two individuals are fencing in a gymnasium while another person watches .,Two men are doing karate moves on each other as the younger students and others in the class observe .,The name of activity.,4
Two individuals are fencing in a gymnasium while another person watches .,Two men are doing karate moves on each other as the younger students and others in the class observe .,The action of people.,1
Football players in a blue uniform tackling a opposing team .,Football player in black and yellow avoiding tackles by three players in red .,The type of sport being played.,4
Football players in a blue uniform tackling a opposing team .,Football player in black and yellow avoiding tackles by three players in red .,The color of the uniform.,2
A young man jumps with a surfboard over the waves .,A young man in a bodysuit is taking part in a water sports activity .,The type of person.,4
A young man jumps with a surfboard over the waves .,A young man in a bodysuit is taking part in a water sports activity .,The clothing.,3
A crosscountry biker with helmet and sports gears ( green and black ) is jumping in the air with his bike that has dirty tires .,A lone bike rider navigating a rough terrain course through dirt with trees and grass in the background on a cloud free day .,The means of transportation.,5
A crosscountry biker with helmet and sports gears ( green and black ) is jumping in the air with his bike that has dirty tires .,A lone bike rider navigating a rough terrain course through dirt with trees and grass in the background on a cloud free day .,The distance from the terrain.,3
A man in a cream blazer and fedora plays the saxophone .,A man is performing in the street playing two instruments at the same time .,The type of talent.,4
A man in a cream blazer and fedora plays the saxophone .,A man is performing in the street playing two instruments at the same time .,The number of instruments.,1
Players engage in a rugby match in a stadium filled with spectators .,A soccer game is in progress with a red shirt team and a blue shirt team .,The type of event.,4
Players engage in a rugby match in a stadium filled with spectators .,A soccer game is in progress with a red shirt team and a blue shirt team .,The type of sport.,2
A person is half submerged in water in their yellow kayak .,Kayaker tips his kayak in the white water rapids .,The type of boat.,4
A person is half submerged in water in their yellow kayak .,Kayaker tips his kayak in the white water rapids .,The position of the person.,4
Children being supervised in a learning environment by three adults .,Two women are teaching in front of a classroom of young children .,Similar classroom.,5
Children being supervised in a learning environment by three adults .,Two women are teaching in front of a classroom of young children .,Number of adults (or teachers).,3
A person speeding through a heavily wooded trail on a bicycle .,A person is in the air on a bike near a body of water .,The type of vehicle.,3
A person speeding through a heavily wooded trail on a bicycle .,A person is in the air on a bike near a body of water .,The type of location.,2
A man wearing a blue wetsuit is wakeboarding through a big wave .,The surfer in the black bodysuit rides a wave off the coast,The person's hobby.,5
A man wearing a blue wetsuit is wakeboarding through a big wave .,The surfer in the black bodysuit rides a wave off the coast,The clothes' color.,2
"Person with blue jacket windsailing with blue , white and orange sail over snow and rock front .",A skier is skiing down a mountain wearing goggles and a red anorak .,The color of the terrain.,4
"Person with blue jacket windsailing with blue , white and orange sail over snow and rock front .",A skier is skiing down a mountain wearing goggles and a red anorak .,The color of the clothing.,1
A little boy in a winter coat is standing on the edge of water .,A boy standing at the beach holding a blue pale and a green shovel .,The gender.,5
A little boy in a winter coat is standing on the edge of water .,A boy standing at the beach holding a blue pale and a green shovel .,The place of boy standing.,4
A person with a yellow and black striped snowboard jumps on the snowy hill .,A man wearing a bright orange jacket makes a jump on his snowboard .,The name of the sport.,5
A person with a yellow and black striped snowboard jumps on the snowy hill .,A man wearing a bright orange jacket makes a jump on his snowboard .,The color of the shirt.,3
The skier is airborne after going off the ramp .,Very brave snow skier doing a flip off a cliff .,The type of sport.,4
The skier is airborne after going off the ramp .,Very brave snow skier doing a flip off a cliff .,The object jumped off.,3
A person in a black and red jacket walking up a snowy mountain .,A lone hiker treks through deep snow near rocky peaks .,The number of people.,3
A person in a black and red jacket walking up a snowy mountain .,A lone hiker treks through deep snow near rocky peaks .,The place of the action.,3
A man in a wetsuit surfs waves with the view of a city behind him .,A paddle boarder wearing a wetsuit rides a wave into shore .,The type of the costume.,5
A man in a wetsuit surfs waves with the view of a city behind him .,A paddle boarder wearing a wetsuit rides a wave into shore .,The type of action of the person.,5
A mother holds her newborn as she sits with a smiling nurse in the hospital bed .,A young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed .,The gender of the person.,5
A mother holds her newborn as she sits with a smiling nurse in the hospital bed .,A young woman holding a newborn in her arms while still wearing her hospital bracelet laying on a hospital bed .,The absence of bracelet.,1
Singer and a two guitarist performing in front of a crowd .,A man with a white guitar plays with another in a striped shirt .,The type of instrument.,5
Singer and a two guitarist performing in front of a crowd .,A man with a white guitar plays with another in a striped shirt .,The number of musicians.,2
Two brown dogs are creating large splashes as they run in a river .,Two white dogs swim face to face in shady water .,The amount of dogs.,4
Two brown dogs are creating large splashes as they run in a river .,Two white dogs swim face to face in shady water .,The color of the dogs.,1
"This is a man , who has a rope in is mouth , and a baby cow up in the air",A cowboy is attempting to lasso a calf while riding a horse .,Type of tool.,4
"This is a man , who has a rope in is mouth , and a baby cow up in the air",A cowboy is attempting to lasso a calf while riding a horse .,Position of the rope.,1
A little boy wearing green shorts kicking a soccer ball .,Number 13 kicks a soccer ball towards the goal during children 's soccer game .,The sport.,5
A little boy wearing green shorts kicking a soccer ball .,Number 13 kicks a soccer ball towards the goal during children 's soccer game .,The attire.,3
People stand in the street outside of some tall cream colored buildings .,A city scene in one point perspective with people walking .,Urban density.,3
People stand in the street outside of some tall cream colored buildings .,A city scene in one point perspective with people walking .,Speed of people.,1
A large golden retriever on a leash standing in the snow .,A brown and white dog is leaping over a log near water in the snow .,The type of animal.,4
A large golden retriever on a leash standing in the snow .,A brown and white dog is leaping over a log near water in the snow .,The motion of the animal.,3
A skier in a yellow and green shirt doing a flip in the air .,A picture of a person performing a stunt on skies wearing a yellow and dark blue suit .,The mode of transportation.,3
A skier in a yellow and green shirt doing a flip in the air .,A picture of a person performing a stunt on skies wearing a yellow and dark blue suit .,The color scheme of the uniform.,3
"ON a shantytown lined river , a man in a red shirt paddles a boat while standing .","Three men are hauling pink bags onto a boat , a fourth man sits on some wood on the river staring into the distance .",The type of location.,5
"ON a shantytown lined river , a man in a red shirt paddles a boat while standing .","Three men are hauling pink bags onto a boat , a fourth man sits on some wood on the river staring into the distance .",The type of vehicle.,5
Tan dog running through long grass in a park-like setting .,A brown dog is jumping over a tree limb in a wooded area .,The type of animal.,5
Tan dog running through long grass in a park-like setting .,A brown dog is jumping over a tree limb in a wooded area .,The motion of the animal.,2
A little boy in red clothes takes a nap on a fold out kids couch .,A toddler lays half on a mattress and half on the floor .,The action of the toddler.,5
A little boy in red clothes takes a nap on a fold out kids couch .,A toddler lays half on a mattress and half on the floor .,The place of the action.,3
Three people stand outside around two grills where meat is being cooked .,A group of chefs are cooking at a barbecue restaurant .,The number of person.,4
Three people stand outside around two grills where meat is being cooked .,A group of chefs are cooking at a barbecue restaurant .,The cooking.,4
A young boy with dark hair and a plaid shirt looks up into the distance .,A young girl tilts her head as other children in the background are seen .,The orientation of the head.,4
A young boy with dark hair and a plaid shirt looks up into the distance .,A young girl tilts her head as other children in the background are seen .,The gender of the person.,1
A biker dressed in orange and navy is competitively riding a red and white bike .,A person riding their bicycle up a dirt mound while two other people are in the background watching .,The number of wheels.,4
A biker dressed in orange and navy is competitively riding a red and white bike .,A person riding their bicycle up a dirt mound while two other people are in the background watching .,The presence of motors.,3
"Two people , one in blue , the other in white , are competing in a martial arts fight .",Two fencers in white suits and black masks compete in a gymnasium setting .,The color of the clothing.,4
"Two people , one in blue , the other in white , are competing in a martial arts fight .",Two fencers in white suits and black masks compete in a gymnasium setting .,The type of competition.,2
A groom and his wife kiss while posing for photos .,A man and a woman that is holding flowers smile in the sunlight .,The gender ratio of the people.,4
A groom and his wife kiss while posing for photos .,A man and a woman that is holding flowers smile in the sunlight .,The activity each couple performs.,1
a skateboarder jumps over a highway guard rail .,A man skateboarding outside balancing his skateboard on a beam .,The person's hobby.,4
a skateboarder jumps over a highway guard rail .,A man skateboarding outside balancing his skateboard on a beam .,The rider's elevation.,4
A furry black and white dog jumps over a bar during an agility test .,A brown and white dog standing next to a smaller brown and white dog in front of a fence .,The type of animal.,5
A furry black and white dog jumps over a bar during an agility test .,A brown and white dog standing next to a smaller brown and white dog in front of a fence .,The animal's color.,2
BMXer in the air with motion blur on the forest background .,"A bicyclist performs a stunt on a ramp , going into the air while twisting .",Where the cyclists are positioned.,5
BMXer in the air with motion blur on the forest background .,"A bicyclist performs a stunt on a ramp , going into the air while twisting .",How the cyclists are performing their stunts.,4
A child playing on a swing set with construction workers in the background .,Three smiling children swing in a tire swing at a playground .,Type of recreational activity.,4
A child playing on a swing set with construction workers in the background .,Three smiling children swing in a tire swing at a playground .,Number of children.,1
A baseball player swinging at a ball while the other team watches from the dugout .,"A baseball player swings his bat at a ball , the umpire and catcher pay close attention behind him .",The number of people.,3
A baseball player swinging at a ball while the other team watches from the dugout .,"A baseball player swings his bat at a ball , the umpire and catcher pay close attention behind him .",The sport.,3
A skier stands on his hands in the snow in front of a movie camera .,A skier performs a jumping trick on the slopes .,The person's hobby.,5
A skier stands on his hands in the snow in front of a movie camera .,A skier performs a jumping trick on the slopes .,The person's stance.,2
A poodle running along a beach carrying a stick in its mouth .,A black and brown dog walks in the shallows of a large body of water .,Specific location of the dog.,2
A poodle running along a beach carrying a stick in its mouth .,A black and brown dog walks in the shallows of a large body of water .,The setting.,2
Man with helmet performing a trick while rollerblading .,A man on inline skates does a trick on a cracked concrete ramp .,The person.,3
Man with helmet performing a trick while rollerblading .,A man on inline skates does a trick on a cracked concrete ramp .,The activity.,2
A baseball player swings the bat as a catcher and umpire watch .,"Two baseball players on a field , with four spectators , and a crowd .",The game played.,5
A baseball player swings the bat as a catcher and umpire watch .,"Two baseball players on a field , with four spectators , and a crowd .",The intentions of the spectators.,2
A man on a board with the aid of a parachute travels quickly through the snow .,There is a snowboarder carrying their board at the mountains .,The type of sport the people participate in.,3
A man on a board with the aid of a parachute travels quickly through the snow .,There is a snowboarder carrying their board at the mountains .,The equipment being used.,3
A man on a motorized bike rides across a dirt road .,This is a Dirt bike spin out on left bank route .,The sport engaged in.,4
A man on a motorized bike rides across a dirt road .,This is a Dirt bike spin out on left bank route .,The status of the vehicle.,1
The goalie with the white jersey allowed a goal by the player on the red team .,"Two teams playing hockey in a stadium , the team in yellow just scored a point .",The play.,4
The goalie with the white jersey allowed a goal by the player on the red team .,"Two teams playing hockey in a stadium , the team in yellow just scored a point .",The color.,1
A lady in a blue swimsuit is swimming underwater .,A female swimmer is submerged horizontally in a swimming pool .,Speed of swimmer.,4
A lady in a blue swimsuit is swimming underwater .,A female swimmer is submerged horizontally in a swimming pool .,Gender of swimmer.,3
A dog jumps and runs through tall grass with an orange rope under its legs .,A dog trying to jump a wire fence with something in his mouth .,The action of the dogs.,2
A dog jumps and runs through tall grass with an orange rope under its legs .,A dog trying to jump a wire fence with something in his mouth .,The location the dog had an item.,1
Cowboy in blue and red pants getting bucked off a horse .,"A cowboy in a rodeo riding in the "" Bucking Bronco "" contest .",Occupation.,5
Cowboy in blue and red pants getting bucked off a horse .,"A cowboy in a rodeo riding in the "" Bucking Bronco "" contest .",Position relative to animal.,5
A cowboy in a black hat riding a rodeo horse with lots of spectators in the background .,A man is astride a rearing horse in an arena full of spectators .,The position of the person.,5
A cowboy in a black hat riding a rodeo horse with lots of spectators in the background .,A man is astride a rearing horse in an arena full of spectators .,The amount of spectators.,3
A four-wheel rider makes a turn in full gear with people leaning against a rail in the background look on .,The motocross bike spits gravel as its brightly attired rider pursues his adversary .,The excitement of the drivers.,4
A four-wheel rider makes a turn in full gear with people leaning against a rail in the background look on .,The motocross bike spits gravel as its brightly attired rider pursues his adversary .,The number of wheels.,2
The skier is looking at the snowcapped mountains .,A person travels down a snowy path into the mountains .,The action of the person.,4
The skier is looking at the snowcapped mountains .,A person travels down a snowy path into the mountains .,The geological formation.,3
A man in a red jacket and goggles is skiing in a flurry of snow .,A brightly-colored skier flies through the air with his skis slightly crossed .,The person's hobby.,5
A man in a red jacket and goggles is skiing in a flurry of snow .,A brightly-colored skier flies through the air with his skis slightly crossed .,The person's distance from the ground.,1
A light brown dog is splashing in the water with its paw .,A big dog shakes itself dry while standing in a creek .,The species of animal.,5
A light brown dog is splashing in the water with its paw .,A big dog shakes itself dry while standing in a creek .,The animal's intentions.,2
A man in a flowered bathing suit waterskies on one ski while being pulled by a rope .,A young man dressed in blue swimming trunks and a red life jacket waterskiing in a blue lake .,The recreational sport.,5
A man in a flowered bathing suit waterskies on one ski while being pulled by a rope .,A young man dressed in blue swimming trunks and a red life jacket waterskiing in a blue lake .,The style of the bathing suit.,4
"A football player in a black , white , and orange uniform , is trying to tackle another player in a blue , white , and gold uniform .",Two teams play a game of football ; the yellow helmet team has possession of the ball and is advancing .,The sport being played.,4
"A football player in a black , white , and orange uniform , is trying to tackle another player in a blue , white , and gold uniform .",Two teams play a game of football ; the yellow helmet team has possession of the ball and is advancing .,The color.,1
An athlete executes a judo throw while a judge watches .,Two people dressed in karate outfits are fighting .,The origin of the sport.,3
An athlete executes a judo throw while a judge watches .,Two people dressed in karate outfits are fighting .,The type of uniform.,3
A man in jeans sitting on the front lawn with a baby in his lap .,"Three children , baby in the center , sit in an outdoor swing chair .",The body position.,3
A man in jeans sitting on the front lawn with a baby in his lap .,"Three children , baby in the center , sit in an outdoor swing chair .",The oldest person's age.,1
A pretty baby girl wearing pink is sitting in a baby feeder hi top chair .,"Baby wearing blue Asian garment , grabbing fruit from a bowl .",The presence of baby.,5
A pretty baby girl wearing pink is sitting in a baby feeder hi top chair .,"Baby wearing blue Asian garment , grabbing fruit from a bowl .",The color of the dress.,1
A person in a wetsuit is carrying a surfboard into the ocean .,This is a young man on a surfboard riding a wave .,The sport.,5
A person in a wetsuit is carrying a surfboard into the ocean .,This is a young man on a surfboard riding a wave .,The physical action.,3
The large brown dog faces the little white dog on the grass .,A little dog jumps off of the bench where a larger dog is eating .,The number of animals.,5
The large brown dog faces the little white dog on the grass .,A little dog jumps off of the bench where a larger dog is eating .,The activity involved.,4
"Young boy in white shirt playing soccer , kicking the ball in the goal .","A girl , dressed in a soccer uniform , is getting ready to kick a green soccer ball .",The sport.,5
"Young boy in white shirt playing soccer , kicking the ball in the goal .","A girl , dressed in a soccer uniform , is getting ready to kick a green soccer ball .",The gender.,1
"A young , smiling boy playing on a metal structure .",A child in sunglasses lays on his belly on a red swing set .,The type of human.,4
"A young , smiling boy playing on a metal structure .",A child in sunglasses lays on his belly on a red swing set .,The number of people.,3
A mother in blue holds her child outside of a white tent .,African women looking down at baby on a red blanket .,The gender.,5
A mother in blue holds her child outside of a white tent .,African women looking down at baby on a red blanket .,The colors.,1
A bicyclist becomes airborne among dirt hills at night .,A bike rider on his side on a dirt road with people watching .,The rider.,5
A bicyclist becomes airborne among dirt hills at night .,A bike rider on his side on a dirt road with people watching .,The action of the rider.,5
Quite a few hikers walk through the snow with their gear .,A group of crosscountry skiers following a path through the forest .,Type of foot covering.,3
Quite a few hikers walk through the snow with their gear .,A group of crosscountry skiers following a path through the forest .,Weather condition.,1
A black dog is running along a muddy stream surrounded by fall foliage .,A little white and brown dog runs through brown grass .,The animal's intention.,5
A black dog is running along a muddy stream surrounded by fall foliage .,A little white and brown dog runs through brown grass .,The animal's color.,2
Someone in yellow pants is on a ramp over the snow .,A skier takes to great heights on a snow-covered mountain slope .,The hobby.,4
Someone in yellow pants is on a ramp over the snow .,A skier takes to great heights on a snow-covered mountain slope .,The climate condition.,4
A toddler in a blue dress holding himself up on a rock .,A young little girl in a dress stands and admires a creek .,What the person is wearing.,3
A toddler in a blue dress holding himself up on a rock .,A young little girl in a dress stands and admires a creek .,What the subject is doing.,2
"A man wearing blue jeans , a blue shirt , and a cowboy hat rides a brown horse on a field in front of spectators .","Two men sitting on horses one wearing a cowboy hat , the other in a baseball cap , with a big tree behind them .",The animal being used.,5
